RefDes	TPs	Description	Parallel Capacitor	PartNr	Partition	FDCIO162	FDCIO164	Designator FDCIO162	Designator FDCIO164	Cell	Height	X_Cor	Y_Cor	Rotation	PlacementSide	Technology	PartListExclude
R140	TP113,TP130	A5Q20007520/A;1-RES_THK_FLM_510R_+-1%_500mW_1206_SMD x 1		A5Q20007520	Resistor			R140	R140	R1206	0.75	20.8	52.8	0	Top	SMD	
R141	TP131,TP142	A5Q00015038/01;1-RES_MFILM_2.7M_OHM_1%_0.1W_0603_SMT x 2		A5Q00015038	Resistor			R141,R143	R141,R143	R0603	0.55	38.5	51.7	180	Top	SMD	
R142	TP106,TP142	A5Q00008515/01;1-RES_0402_220K_1%_0.063W_100PPM_CHIP SM x 2		A5Q00008515	Resistor			R142,R156	R142,R156	R0402	0.4	41.2	49.5	0	Bottom	SMD	
R143	TP131,TP146	A5Q00015038/01;1-RES_MFILM_2.7M_OHM_1%_0.1W_0603_SMT x 2		A5Q00015038	Resistor			R141,R143	R141,R143	R0603	0.55	29	55.5	180	Bottom	SMD	
R144	TP147,TP148	A5Q00008482/01;1-RES_0402_1M_1%_0.063W_100PPM x 2		A5Q00008482	Resistor			R144,R157	R144,R157	R0402	0.4	38.900048	50	180	Top	SMD	
R145	TP106,TP147	A5Q20000411/C;1-RES_CHIP_180K_+-1%_63mW_0402_SMD x 1		A5Q20000411	Resistor			R145	R145	R0402	0.4	38.899999	48.9	0	Top	SMD	
R154	TP103,TP105	A5Q00027042/01;1-RES_0402_10K_1%_0.063W_100PPM_CHIP SM x 2		A5Q00027042	Resistor			R154-R155	R154-R155	R0402	0.4	19.88	49.09	180	Bottom	SMD	
R155	TP103,TP107	A5Q00027042/01;1-RES_0402_10K_1%_0.063W_100PPM_CHIP SM x 2		A5Q00027042	Resistor			R154-R155	R154-R155	R0402	0.4	19.9	51.9	180	Bottom	SMD	
R156	TP103,TP148	A5Q00008515/01;1-RES_0402_220K_1%_0.063W_100PPM_CHIP SM x 2		A5Q00008515	Resistor			R142,R156	R142,R156	R0402	0.4	20.4	55.1	0	Bottom	SMD	
R157	TP111,TP148	A5Q00008482/01;1-RES_0402_1M_1%_0.063W_100PPM x 2		A5Q00008482	Resistor			R144,R157	R144,R157	R0402	0.4	20.4	56.4	0	Bottom	SMD	
R160	TP104,TP156	A5Q00008501/01;1-RES_0402_47K_1%_0.063W_100PPM_CHIP SM x 3		A5Q00008501	Resistor			R112,R160,R401	R112,R160,R401	R0402	0.4	49.3	57.4	180	Top	SMD	
R161	TP156,TP114	A5Q20000381/B;1-RES_CHIP_470R_+-1%_63mW_0402_SMD x 9		A5Q20000381	Resistor			R161,R208,R212,R229,R404-R405	R161,R208,R212,R229-R230,R402-R405	R0402	0.4	25.5	59.35	0	Top	SMD	
