RefDes	TPs	Description	Parallel Capacitor	PartNr	Partition
R301	TP300,TP201	A5Q20002257/C01;1-RES_CHIP_11K_+-1%_63mW_0402_THD x 6		A5Q20002257	Resistor
R302	TP301,TP201	A5Q00008516/01;1-RES_0402_100K_1%_0.063W_100PPM_CHIP SM x 21		A5Q00008516	Resistor
R303	TP302,TP201	A5Q00008516/01;1-RES_0402_100K_1%_0.063W_100PPM_CHIP SM x 21		A5Q00008516	Resistor
R304	TP303,TP204	A5Q00004552/002;1-RES_0603_10K_1%_0.1W_100PPM_CHIP SM x 20		A5Q00004552	Resistor
R305	TP303,TP305	A5Q00004552/002;1-RES_0603_10K_1%_0.1W_100PPM_CHIP SM x 20		A5Q00004552	Resistor
R306	TP204,TP304	A5Q00004552/002;1-RES_0603_10K_1%_0.1W_100PPM_CHIP SM x 20		A5Q00004552	Resistor
R307	TP304,TP306	A5Q00004552/002;1-RES_0603_10K_1%_0.1W_100PPM_CHIP SM x 20		A5Q00004552	Resistor
R308	TP307,TP309	A5Q20011213/A;1-RES_CHIP_1.5K_+-1%_1W_2512_SMD x 4		A5Q20011213	Resistor
R309	TP308,TP310	A5Q20011213/A;1-RES_CHIP_1.5K_+-1%_1W_2512_SMD x 4		A5Q20011213	Resistor
R310	TP309,TP311	A5Q20002242/A;1-RES_CHIP_330R_+-1%_1W_2512_SMD x 4		A5Q20002242	Resistor
R311	TP310,TP312	A5Q20002242/A;1-RES_CHIP_330R_+-1%_1W_2512_SMD x 4		A5Q20002242	Resistor
R312	TP309,TP313	A5Q00008516/01;1-RES_0402_100K_1%_0.063W_100PPM_CHIP SM x 21		A5Q00008516	Resistor
R313	TP310,TP314	A5Q00008516/01;1-RES_0402_100K_1%_0.063W_100PPM_CHIP SM x 21		A5Q00008516	Resistor
R314	TP313,TP201	A5Q20002257/C01;1-RES_CHIP_11K_+-1%_63mW_0402_THD x 6		A5Q20002257	Resistor
R315	TP314,TP201	A5Q20002257/C01;1-RES_CHIP_11K_+-1%_63mW_0402_THD x 6		A5Q20002257	Resistor
R400	TP204,TP400	A5Q20002257/C01;1-RES_CHIP_11K_+-1%_63mW_0402_THD x 6		A5Q20002257	Resistor
R401	TP154,TP401	A5Q00008501/01;1-RES_0402_47K_1%_0.063W_100PPM_CHIP SM x 3		A5Q00008501	Resistor
R404	TP411,TP412	A5Q20000381/B;1-RES_CHIP_470R_+-1%_63mW_0402_SMD x 9		A5Q20000381	Resistor
R405	TP413,TP414	A5Q20000381/B;1-RES_CHIP_470R_+-1%_63mW_0402_SMD x 9		A5Q20000381	Resistor
R406	TP416,TP150	A5Q00008479/01;1-RES_MFILM_100R_1%_0.063W_100PPM_0402_SMT x 2		A5Q00008479	Resistor
V110	TP113,TP115,TP112	A5Q20002461/A;1-TRANS_NPN_BC846B_65V_100mA_SOT-023-3_SMD x 2		A5Q20002461	Transistor
V120	TP118,TP127,TP106	A5Q00020517/01;1-TRANSISTOR_BIPOLOR_NPN_45V_500MA_ x 1		A5Q00020517	Transistor
V140	TP130,TP131	A5Q00024825/01;1-DIO_SIGNAL_MBD4148_100V_150mA_SOT-023_SM x 1		A5Q00024825	Diode
V141	TP146,TP148,TP131	A5Q00000584/01;1-TRANSISTOR_ENH-N_100V_170MA_6OHM_ x 1		A5Q00000584	Mosfet
